"Time_Period","BRONX","BROOKLYN","MANHATTAN","QUEENS","STATEN ISLAND"
2015-01-01,21,16,29,19,0
2015-04-01,67,53,67,51,3
2015-07-01,94,117,97,74,6
2015-10-01,58,53,78,39,2
2016-01-01,32,19,36,16,0
2016-04-01,86,102,91,70,2
2016-07-01,87,161,133,104,7
2016-10-01,49,61,78,49,4
2017-01-01,27,42,43,20,1
2017-04-01,61,108,100,69,5
2017-07-01,98,132,178,90,5
2017-10-01,47,82,72,59,5
2018-01-01,29,31,30,15,4
2018-04-01,64,95,106,61,4
2018-07-01,88,147,198,100,3
2018-10-01,43,62,68,35,2
2019-01-01,26,34,34,15,1
2019-04-01,73,92,104,57,6
2019-07-01,80,163,179,101,10
2019-10-01,49,52,87,57,2
2020-01-01,30,23,38,31,3
2020-04-01,40,38,69,16,1
2020-07-01,90,111,114,82,6
2020-10-01,24,30,66,27,1
2021-01-01,14,11,34,24,0
2021-04-01,54,74,101,33,2
2021-07-01,79,97,108,68,2
2021-10-01,57,56,113,84,3
2022-01-01,25,30,44,14,1
2022-04-01,49,73,113,66,5
2022-07-01,62,127,159,100,4
2022-10-01,25,50,78,40,2
2023-01-01,23,27,38,23,2
2023-04-01,47,86,102,97,7
2023-07-01,51,98,143,94,7
